CookerStat, GenerateAssetRegistry=0.022128, Initialize=0.115063, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C4C8468A44871736D9FAF0BDA4DC44D6__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1983, Duration=1.588762, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CCD0986345F87CBE1AAA7F91920824EF__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=4759, Duration=1.438018, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B038676B41066EC10EA9B490E1FA7C73__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=527, Duration=1.255464, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B88728F4FD3B7232583649B232760A7__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=437, Duration=1.228083, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_72FF97C74534E32B6DB75F891854F599__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=527, Duration=1.717102, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A3DDE4A4D5AC4424A0470AEB208B045__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=437, Duration=1.238592, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C6D92BA4949A2D711F253955038FEEC__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=458, Duration=1.645464, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4A34DBF54363AC37F8D560A3412FCC32__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=458, Duration=1.374401, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BAEDC76042E10158A7232DAAE0BA6C37__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=2107, Duration=1.462083, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97461D2D4DCF5F2E475AFE9D2D0D787D__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=787, Duration=1.239423, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8CB97B0E476B36149FC5C2864149DF43__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=851, Duration=1.316592, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DF281DA463F6ACE4F756BABB78E38D5__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=2035, Duration=1.676440, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
