CookerStat, GenerateAssetRegistry=0.039000, Initialize=0.177577, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6D593D54926EE8CC610B58A7444FFBE__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=461, Duration=1.615871, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DD0BBA094EAEF167950E3A944DBEB069__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=473, Duration=1.333464, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F35CE4A64307AE1D61FB4A9A6F05C80D__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=347, Duration=1.496103, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E71269C5460F3B5009E42DA3C607734E__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=347, Duration=1.261275, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DAB9783A47884673E5F0DDBB82072105__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=347, Duration=1.584891, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EF235EE54C5B96119B3B8BAA7DB5561B__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=458, Duration=1.728721, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9AB22DA94027DB5130E294933383360D__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=458, Duration=1.395974, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1D96A1FB4A580F4C90E77691DB08F8C7__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=458, Duration=1.447421, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_852136544D161425C94A6CADCC154C3D__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=458, Duration=1.980148, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ACDC628041C5AC4AAF729895A1E9F081__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=1367, Duration=1.351997, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2DDF6FC642146564A14CB2AB85629A5C__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=2449, Duration=1.418937, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14EC1CCD4E863777512CCF868B6939A8__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=385, Duration=1.255743, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C672E95E4AD23D1B979C3DB76D0F8DED__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=4549, Duration=1.592636, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_859DA2E14B44A17FD8C691840115DAE1__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=1945, Duration=1.381315, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
