CookerStat, GenerateAssetRegistry=0.029597, Initialize=0.131104, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50BEA596475E25CEB89771A664A60BE1__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=603, Duration=1.597058, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
SavePackageTransactionIdB80D81FE46CD99CBEC6264ADC0AFBFEF_4, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Maps/ChrisTest.umap, AutoPackageBackupDelegate=14.290266, FlushAsyncLoading=0.007190, FlushStreamingFunc=0.050619, BlockTillAllRequestsFinished=0.005253, ResetLoadersForSaveUnMarkAllObjects=74.162788, TagPackageExports=3.900815, BeginCacheForCookedPlatformData=0.002768, SerializeImports=4.395921, GatherLocalizableTextData=11.686403, MarkNames=0.046466, SerializeSummary=0.015214, SerializeNames=0.333849, SerializeGatherableTextData=0.055041, BuildExportMap=0.193063, SortExportsNonSeekfree=0.653595, SortExportsSeekfreeConstructor=0.051722, SortExportsSeekfreeInner=15.758708, SortExportsSeekfree=0.008021, BuildDependencyMap=0.870168, SerializeImportMap=0.020742, SerializeExportMap=0.042044, SerializeDependencyMap=0.008851, SerializeStringAssetReferenceMap=0.002213, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.269847, SerializeExports=8.812029, SerializeBulkData=0.008300, MoveFile=0.675168, UnaccountedTime=0.594679, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B12EDA034172621BCA2F05AB5FD9B68C__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=458, Duration=1.903527, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7598498B4DDED909052FAC8F09B06810__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=458, Duration=1.556121, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47DE5E9947ADD4B6A266AC9F12DA862A__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=409, Duration=1.569673, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4AA24E344E134279922BBA9193F84C1D__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=499, Duration=1.642972, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_39E19234493348EDD44ABF95896E59E9__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=613, Duration=1.384631, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC990E8244A78677FF327E81FD0C0F18__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=437, Duration=1.591805, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A6317074B41C3B40BB9EC86EFD2C672__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=437, Duration=1.851525, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BCF1E8924E37ED7630BAFF84B1AFC704__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=727, Duration=1.581568, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
