CookerStat, GenerateAssetRegistry=0.023235, Initialize=0.116721, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9098FEE54641490789856AA30E72831C__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=589, Duration=1.850423, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_41BBBA4146CC8F7B69C7A0B74C3654C8__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=497, Duration=1.730103, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD51552443A5FB2F4A5C76B846483209__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=807, Duration=1.696084, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8AB63CA041C6312BCBBC828BB1588478__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=347, Duration=1.504678, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA95A55B434D448A3F0B89BEB4822F9A__1_0_13123_0, StartTime=2016.05.26-19.04.15, HierarchicalDDC=, DataSize=458, Duration=1.493059, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D645827F494EE4019270489A8C556342__1_0_13123_0, StartTime=2016.05.26-19.04.15, HierarchicalDDC=, DataSize=1955, Duration=1.465954, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_07142FC140223BFCC60332A801DB7B32__1_0_13123_0, StartTime=2016.05.26-19.04.15, HierarchicalDDC=, DataSize=787, Duration=1.615312, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E4B09C96475A4B88DEC33A874FD90CCD__1_0_13123_0, StartTime=2016.05.26-19.04.15, HierarchicalDDC=, DataSize=737, Duration=1.179956, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F48C6DE8430003B6FF32BCBE0A073A1A__1_0_13123_0, StartTime=2016.05.26-19.04.15, HierarchicalDDC=, DataSize=1417, Duration=1.417000, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1837048F47359029020459B2AEB3E8BD__1_0_13123_0, StartTime=2016.05.26-19.04.15, HierarchicalDDC=, DataSize=4899, Duration=1.240253, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
