CookerStat, GenerateAssetRegistry=0.025053, Initialize=0.130404, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A26DF8A4415EE9FFEA67939183021B4F__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=437, Duration=2.295345, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A7CA40F4430BCFCA226877958C6EE9C4__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.547704, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C17CF5C14149782AB8E37FBED5D9CFD3__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.405222, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8DAF5B2243589740A05E1C80F6A2A2B8__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=869, Duration=2.374738, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B9F8B62F47B07B9ADFF65CA8A5D7831F__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=409, Duration=1.990467, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9C429D1E4DE8D4814D6C67821B11F298__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=423, Duration=2.592679, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5299C81441F90DD10B088192486E2CDD__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.832960, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F57083D43884D5099CD5EA6EE1D7E1E__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.777053, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_844453D6417EB5CA91008C979ED3394D__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.259727, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
MaterialTransactionId52349C774BF5BAD27FBDB1BDD6878163_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ37CEA17E249CDF4A9F4536E90B00C411F_Num_SM5__0___TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_PerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_OnePassPointLighttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000064000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210440444444232341414141414141414141414121301214141414141414140443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444442500000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000008000000080000000800000008000000080000000800000049000000100000000900000008000000100000001000000010000000260000001800000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000008000000080000000800000008000000080000000800000013000000100000000A0000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
