CookerStat, GenerateAssetRegistry=0.023514, Initialize=0.129171, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_26722E8C4F42CAD4CD420CB1A0CE881D__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1583, Duration=1.603700, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_760B4964498D0A231E55B5875378A11F__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=3177, Duration=1.367483, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E85F29E4515D136717EFE88157A51A3__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=561, Duration=1.560274, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1EDD9D944319689DCD70EBAACABEAD95__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=589, Duration=1.576040, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F26A213441904FAA0BACBFB6B96BFBFE__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1231, Duration=2.179570, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D9DB8E9A435190A9FF4834B5F755B15C__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=17463, Duration=1.803674, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_341088CA40F8DC8B0CE4BDB02D3D0788__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=11031, Duration=1.592632, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AE88EEB347CAB94961B575BE23BD1324__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=10381, Duration=1.493059, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_197BE0A74D55E22A54FC798EF097EE3F__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=16235, Duration=1.564972, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B9EC74FC4368EB0FEEFFB6B7DF3415E2__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=2409, Duration=1.811974, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCCF12864371CAF68766E49A55E8DAD4__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1653, Duration=1.310229, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
